" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"7","4","Tooth Fairy","n/a","$844","-66.3%","1","-","$844","$26,396","6"
"8","6","Alvin and the Chipmunks: The Squeakquel","n/a","$581","-63.1%","1","-","$581","$123,361","19"
"9","9","A Prophet (Un prophète)","n/a","$414","-34.2%","1","-","$414","$2,459","3"
"10","8","2012","Sony","$111","-86.9%","1","-","$111","$471,095","26"
"11","-","Armored","Sony","$72","-","1","-","$72","$22,910","17"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Date Night","n/a","$5,183","-7.7%","1","-","$5,183","$32,184","4"
"2","2","Avatar","Fox","$4,616","+9.7%","2","-","$2,308","$877,501","20"
"3","4","The Bounty Hunter","Sony","$3,340","+17.4%","1","-","$3,340","$43,860","6"
"4","5","Tooth Fairy","n/a","$2,507","+9.0%","1","-","$2,507","$25,433","5"
"5","3","My Name is Khan","n/a","$1,814","-45.5%","1","-1","$1,814","$453,999","11"
"6","7","Alvin and the Chipmunks: The Squeakquel","n/a","$1,573","-0.7%","1","-","$1,573","$122,701","18"
"7","6","Percy Jackson & The Olympians: The Lightning Thief","n/a","$1,496","-8.7%","1","-","$1,496","$40,394","10"
"8","9","2012","Sony","$844","-","1","-","$844","$470,721","25"
"9","8","A Prophet (Un prophète)","n/a","$629","-31.9%","1","-","$629","$1,910","2"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","3","Date Night","n/a","$5,618","-20.1%","1","$5,618","$25,536","3"
"2","1","Avatar","Fox","$4,207","-51.9%","2","$2,104","$871,984","19"
"3","2","My Name is Khan","n/a","$3,329","-55.1%","2","$1,665","$451,621","10"
"4","4","The Bounty Hunter","Sony","$2,846","-37.4%","1","$2,846","$39,714","5"
"5","5","Tooth Fairy","n/a","$2,300","-37.2%","1","$2,300","$22,456","4"
"6","7","Percy Jackson & The Olympians: The Lightning Thief","n/a","$1,639","-42.2%","1","$1,639","$38,626","9"
"7","6","Alvin and the Chipmunks: The Squeakquel","n/a","$1,584","-47.3%","1","$1,584","$120,517","17"
"8","N","A Prophet (Un prophète)","n/a","$923","-","1","$923","$1,218","1"
"9","8","2012","Sony","$844","-43.0%","1","$844","$469,782","24"
"10","9","Armored","Sony","$342","-23.3%","1","$342","$22,823","15"
"11","10","Did You Hear About the Morgans?","Sony","$318","+66.5%","1","$318","$24,550","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$8,753","+20.7%","2","$4,377","$866,833","18"
"2","-","My Name is Khan","n/a","$7,411","-","2","$3,706","$442,936","9"
"3","4","Date Night","n/a","$7,029","+42.6%","1","$7,029","$18,040","2"
"4","2","The Bounty Hunter","Sony","$4,546","-16.5%","1","$4,546","$34,472","4"
"5","3","Tooth Fairy","n/a","$3,660","-30.3%","1","$3,660","$19,727","3"
"6","6","Alvin and the Chipmunks: The Squeakquel","n/a","$3,008","+87.2%","1","$3,008","$118,767","16"
"7","5","Percy Jackson & The Olympians: The Lightning Thief","n/a","$2,833","+46.5%","1","$2,833","$36,788","8"
"8","7","2012","Sony","$1,480","+31.0%","1","$1,480","$467,546","23"
"9","9","Armored","Sony","$446","+36.8%","1","$446","$22,194","14"
"10","8","Did You Hear About the Morgans?","Sony","$191","-59.3%","1","$191","$23,985","12"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","2","Avatar","Fox","$7,255","-19.4%","2","$3,628","$852,997","17"
"2","3","The Bounty Hunter","Sony","$5,443","-37.8%","1","$5,443","$28,406","3"
"3","4","Tooth Fairy","n/a","$5,252","+3.1%","1","$5,252","$13,822","2"
"4","N","Date Night","n/a","$4,928","-","1","$4,928","$7,676","1"
"5","5","Percy Jackson & The Olympians: The Lightning Thief","n/a","$1,934","-20.1%","1","$1,934","$33,239","7"
"6","6","Alvin and the Chipmunks: The Squeakquel","n/a","$1,607","-17.3%","1","$1,607","$113,451","15"
"7","7","2012","Sony","$1,130","-11.8%","1","$1,130","$465,787","22"
"8","9","Did You Hear About the Morgans?","Sony","$469","+126.6%","1","$469","$23,658","11"
"9","8","Armored","Sony","$326","-4.7%","1","$326","$21,669","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","My Name is Khan","n/a","$11,069","-17.2%","3","$3,690","$425,825","7"
"2","2","Avatar","Fox","$9,005","-17.7%","2","$4,503","$842,798","16"
"3","3","The Bounty Hunter","Sony","$8,745","+13.2%","1","$8,745","$20,181","2"
"4","N","Tooth Fairy","n/a","$5,093","-","1","$5,093","$7,440","1"
"5","4","Percy Jackson & The Olympians: The Lightning Thief","n/a","$2,419","+19.7%","1","$2,419","$30,660","6"
"6","5","Alvin and the Chipmunks: The Squeakquel","n/a","$1,942","+2.1%","1","$1,942","$111,135","14"
"7","6","2012","Sony","$1,281","+0.6%","1","$1,281","$464,196","21"
"8","7","Armored","Sony","$342","-65.4%","1","$342","$21,208","12"
"9","8","Did You Hear About the Morgans?","Sony","$207","-68.3%","1","$207","$23,078","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","My Name is Khan","n/a","$13,364","-20.0%","3","$4,455","$412,327","6"
"2","2","Avatar","Fox","$10,947","-17.4%","2","$5,474","$830,807","15"
"3","N","The Bounty Hunter","Sony","$7,724","-","1","$7,724","$7,724","1"
"4","3","Percy Jackson & The Olympians: The Lightning Thief","n/a","$2,021","-43.3%","1","$2,021","$27,526","5"
"5","4","Alvin and the Chipmunks: The Squeakquel","n/a","$1,902","+1.3%","1","$1,902","$108,425","13"
"6","5","2012","Sony","$1,273","+3.2%","1","$1,273","$462,413","20"
"7","7","Armored","Sony","$987","+226.8%","1","$987","$20,547","11"
"8","6","Did You Hear About the Morgans?","Sony","$653","-","1","$653","$22,632","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","My Name is Khan","n/a","$16,701","-35.0%","3","$5,567","$390,750","5"
"2","2","Avatar","Fox","$13,255","-10.6%","2","$6,628","$815,865","14"
"3","3","Percy Jackson & The Olympians: The Lightning Thief","n/a","$3,565","+5.4%","1","$3,565","$24,677","4"
"4","4","Alvin and the Chipmunks: The Squeakquel","n/a","$1,878","-21.9%","1","$1,878","$106,037","12"
"5","5","2012","Sony","$1,233","-11.5%","1","$1,233","$460,846","19"
"6","6","Did You Hear About the Morgans?","Sony","$653","+6.5%","1","$653","$21,749","8"
"7","7","Armored","Sony","$302","-31.1%","1","$302","$19,337","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","My Name is Khan","n/a","$25,696","-30.4%","3","$8,565","$374,047","4"
"2","2","Avatar","Fox","$14,823","-26.6%","2","$7,412","$798,740","13"
"3","3","Percy Jackson & The Olympians: The Lightning Thief","n/a","$3,382","-22.2%","1","$3,382","$20,404","3"
"4","4","Alvin and the Chipmunks: The Squeakquel","n/a","$2,403","-21.4%","1","$2,403","$103,777","11"
"5","5","2012","Sony","$1,393","-14.2%","1","$1,393","$459,119","18"
"6","6","Did You Hear About the Morgans?","Sony","$613","-8.2%","1","$613","$20,857","7"
"7","7","Armored","Sony","$438","-28.6%","1","$438","$18,884","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","My Name is Khan","n/a","$36,943","-61.3%","3","-3","$12,314","$341,213","3"
"2","2","Avatar","Fox","$20,194","-35.7%","2","-","$10,097","$779,013","12"
"3","3","Percy Jackson & The Olympians: The Lightning Thief","n/a","$4,345","-49.2%","1","-","$4,345","$16,178","2"
"4","4","Alvin and the Chipmunks: The Squeakquel","n/a","$3,056","-22.4%","1","-","$3,056","$100,857","10"
"5","5","2012","Sony","$1,623","-14.3%","1","-","$1,623","$457,169","17"
"6","6","Did You Hear About the Morgans?","Sony","$668","-44.4%","1","-","$668","$20,077","6"
"7","7","Armored","Sony","$613","-37.4%","1","-","$613","$18,383","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","My Name is Khan","n/a","$95,520","-35.8%","6","-","$15,920","$292,368","2"
"2","2","Avatar","Fox","$31,399","-10.2%","2","-","$15,700","$752,718","11"
"3","N","Percy Jackson & The Olympians: The Lightning Thief","n/a","$8,555","-","1","-","$8,555","$10,783","1"
"4","3","Alvin and the Chipmunks: The Squeakquel","n/a","$3,939","-27.1%","1","-","$3,939","$97,331","9"
"5","4","2012","Sony","$1,894","-51.1%","1","-1","$1,894","$455,092","16"
"6","5","Did You Hear About the Morgans?","Sony","$1,202","+10.3%","1","-","$1,202","$19,154","5"
"7","6","Armored","Sony","$979","+7.9%","1","-","$979","$17,276","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","N","My Name is Khan","n/a","$148,800","-","6","$24,800","$148,800","1"
"2","1","Avatar","Fox","$34,974","-38.4%","2","$17,487","$712,918","10"
"3","2","Alvin and the Chipmunks: The Squeakquel","n/a","$5,403","-40.9%","1","$5,403","$92,899","8"
"4","3","2012","Sony","$3,873","-33.5%","2","$1,937","$452,206","15"
"5","4","Did You Hear About the Morgans?","Sony","$1,090","-60.3%","1","$1,090","$17,555","4"
"6","5","Armored","Sony","$907","-53.1%","1","$907","$15,892","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$56,813","+12.7%","2","-","$28,407","$665,922","9"
"2","2","Alvin and the Chipmunks: The Squeakquel","n/a","$9,136","+33.5%","1","-","$9,136","$86,405","7"
"3","4","2012","Sony","$5,825","+71.0%","2","+1","$2,913","$443,758","14"
"4","3","Did You Hear About the Morgans?","Sony","$2,745","-31.0%","1","-","$2,745","$14,515","3"
"5","5","Armored","Sony","$1,934","+10.0%","1","-","$1,934","$13,751","5"
"6","7"," Cloudy with a Chance of Meatballs","Sony","$1,401","+144.5%","1","-","$1,401","$103,527","22"
"7","6","Step Father (2009)","Sony","$1,353","+80.9%","1","-","$1,353","$15,860","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$50,394","-0.1%","2","-","$25,197","$573,623","8"
"2","2","Alvin and the Chipmunks: The Squeakquel","n/a","$6,844","-16.3%","1","-","$6,844","$72,074","6"
"3","4","Did You Hear About the Morgans?","Sony","$3,979","-2.3%","1","-","$3,979","$9,772","2"
"4","3","2012","Sony","$3,406","-18.2%","1","-1","$3,406","$435,688","13"
"5","5","Armored","Sony","$1,759","+97.4%","1","-","$1,759","$10,950","4"
"6","-","Step Father (2009)","Sony","$748","-","1","-","$748","$13,934","9"
"7","6"," Cloudy with a Chance of Meatballs","Sony","$573","+38.4%","1","-","$573","$101,848","21"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$50,434","-1.1%","2","-","$25,217","$501,704","6"
"2","2","Alvin and the Chipmunks: The Squeakquel","n/a","$8,181","-29.6%","1","-","$8,181","$62,851","4"
"3","3","2012","Sony","$4,162","-48.0%","2","+1","$2,081","$430,588","11"
"4","-","Did You Hear About the Morgans?","Sony","$4,074","-","1","-","$4,074","$4,074","-"
"5","4","Armored","Sony","$891","-69.2%","1","-","$891","$8,507","2"
"6","7"," Cloudy with a Chance of Meatballs","Sony","$414","-46.9%","1","-","$414","$101,116","19"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$50,989","+8.5%","2","-1","$25,495","$349,982","5"
"2","2","Alvin and the Chipmunks: The Squeakquel","n/a","$11,618","-4.0%","1","-","$11,618","$40,012","3"
"3","3","2012","Sony","$7,998","+1.5%","1","-1","$7,998","$417,409","10"
"4","N","Armored","Sony","$2,897","-","1","-","$2,897","$2,897","1"
"5","4","Zombieland","Sony","$1,027","+7.5%","1","-","$1,027","$24,354","8"
"6","6","Step Father (2009)","Sony","$963","+39.2%","1","-","$963","$10,974","6"
"7","5"," Cloudy with a Chance of Meatballs","Sony","$780","-17.9%","1","-","$780","$100,017","18"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$47,018","-28.0%","3","+1","$15,673","$298,993","4"
"2","2","Alvin and the Chipmunks: The Squeakquel","n/a","$12,104","-6.9%","1","-","$12,104","$28,394","2"
"3","3","2012","Sony","$7,878","-31.9%","2","-","$3,939","$406,626","9"
"4","5","Zombieland","Sony","$955","-27.3%","1","-","$955","$22,921","7"
"5","6"," Cloudy with a Chance of Meatballs","Sony","$950","+38.9%","1","-","$950","$99,179","17"
"6","4","Step Father (2009)","Sony","$692","-59.5%","1","-","$692","$9,610","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$65,300","+46.0%","2","-","$32,650","$223,855","3"
"2","N","Alvin and the Chipmunks: The Squeakquel","n/a","$13,003","-","1","-","$13,003","$14,603","1"
"3","2","2012","Sony","$11,571","+16.3%","2","+1","$5,786","$395,430","8"
"4","3","Step Father (2009)","Sony","$1,708","+36.4%","1","-","$1,708","$8,576","4"
"5","4","Zombieland","Sony","$1,313","+50.1%","1","-","$1,313","$21,696","6"
"6","5"," Cloudy with a Chance of Meatballs","Sony","$684","-13.2%","1","-","$684","$98,094","16"
